Seed 	 Nb Nodes 	 Nb altruists 	 Nb pairs 	 Nb arcs 	 Nb arcs PRA80 	 Nb Cycles 	Nb Chains 	 Nb Cycles and Chains 	Max node fail 	 Max arc fail 	 Max arc PRA80 fail 	Node weight PRA0_80 	 Node weigt PRA80_100 	L Cycle 	 L Chain 	 Obj value 	 First stage obj value 	Matching ub 	Nb matches det 	 Nb matches RE 	 Nb PRA80 det 	 Nb PRA80 RE 	Nb transplants det 	 Nb transplants recourse 	 Nb transplants PRA80 det 	 Nb transplants PRA80 recourse 	Total time 	 Scenarios generated 	 Solution values and adversary values
16	50	1	49	558	20	444	6566	7010	1	0	0	1	1	3	5	15	1	3	0	0	0	0	0	0	0	0	0	0	0	
17	50	2	48	487	20	200	7649	7849	1	0	0	1	1	3	5	21	3	3	0	0	0	2	0	0	0	0	0	0	0	
18	50	3	47	596	24	234	10432	10666	1	0	0	1	1	3	5	29	6	3	0	0	0	0	0	0	0	0	0	0	0	
19	50	2	48	502	15	210	21507	21717	1	0	0	1	1	3	5	17	3	1	0	0	0	0	0	0	0	0	0	0	0	
20	50	0	50	474	33	378	0	378	1	0	0	1	1	3	5	19	2	5	0	0	0	0	0	0	0	0	0	0	0	
21	50	3	47	524	29	282	31947	32229	1	0	0	1	1	3	5	24	2	3	0	0	0	1	0	0	0	0	0	0	0	
22	50	3	47	397	25	119	12668	12787	1	0	0	1	1	3	5	23	2	3	0	0	1	0	0	0	0	0	0	0	0	
23	50	1	49	660	23	503	9560	10063	1	0	0	1	1	3	5	32	5	6	0	0	0	0	0	0	0	0	0	0	0	
24	50	4	46	517	18	399	26775	27174	1	0	0	1	1	3	5	23	2	5	0	1	0	1	0	0	0	0	0	0	0	
25	50	1	49	571	23	477	39537	40014	1	0	0	1	1	3	5	26	4	5	0	0	0	1	0	0	0	0	0	0	0	
26	50	2	48	700	40	474	67339	67813	1	0	0	1	1	3	5	33	2	8	0	1	0	0	0	0	0	0	0	0	0	
27	50	2	48	658	12	398	69853	70251	1	0	0	1	1	3	5	25	4	3	0	0	0	0	0	0	0	0	0	0	0	
28	50	3	47	515	20	487	57082	57569	1	0	0	1	1	3	5	23	1	3	0	0	0	0	0	0	0	0	0	0	0	
29	50	1	49	580	17	481	34551	35032	1	0	0	1	1	3	5	26	3	6	0	0	1	0	0	0	0	0	0	0	0	
0	100	3	97	2016	56	1263	415257	416520	1	0	0	1	1	3	5	43	9	6	0	0	0	1	0	0	0	0	0	0	0	
1	100	6	94	2108	37	1185	1144552	1145737	1	0	0	1	1	3	5	47	7	5	0	0	0	2	0	0	0	0	0	0	0	
2	100	1	99	2132	66	2739	111945	114684	1	0	0	1	1	3	5	48	7	10	0	0	0	0	0	0	0	0	0	0	0	
3	100	7	93	2694	107	2042	1528644	1530686	1	0	0	1	1	3	5	65	9	9	0	1	2	1	0	0	0	0	0	0	0	
