Seed 	 Nb Nodes 	 Nb altruists 	 Nb pairs 	 Nb arcs 	 Nb arcs PRA80 	 Nb Cycles 	Nb Chains 	 Nb Cycles and Chains 	Max node fail 	 Max arc fail 	 Max arc PRA80 fail 	Node weight PRA0_80 	 Node weigt PRA80_100 	L Cycle 	 L Chain 	 Obj value 	 First stage obj value 	Matching ub 	Nb matches det 	 Nb matches RE 	 Nb PRA80 det 	 Nb PRA80 RE 	Nb transplants det 	 Nb transplants recourse 	 Nb transplants PRA80 det 	 Nb transplants PRA80 recourse 	Total time 	 Scenarios generated 	 Solution values and adversary values
10	50	4	46	679	11	530	11932	12462	0	0	3	1	1	3	4	22	35	35	31	35	5	5				6.3869843	3	35	30	31	29	22	30	
11	50	1	49	769	16	484	6006	6490	0	0	4	1	1	3	4	30	32	33	32	33	5	5				1.3030021	2	32	30	30	31	
12	50	4	46	525	30	323	4228	4551	0	0	9	1	1	3	4	23	30	34	28	32	12	11				1.4439871	2	30	23	23	24	
13	50	0	50	658	18	389	0	389	0	0	5	1	1	3	4	17	30	30	30	30	6	6				0.2159792	2	30	28	17	28	
14	50	2	48	549	13	120	2287	2407	0	0	3	1	1	3	4	18	19	20	19	21	4	3				7.1281989	5	19	18	19	17	19	18	19	18	18	18	
15	50	2	48	667	29	504	5200	5704	0	0	8	1	1	3	4	17	28	29	26	28	7	7				3.0279858	3	28	24	25	24	17	24	
16	50	1	49	558	20	444	766	1210	0	0	6	1	1	3	4	15	15	16	15	16	2	2				1.5229882	5	15	14	15	14	15	14	15	14	15	15	
17	50	2	48	487	20	200	1086	1286	0	0	6	1	1	3	4	7	21	23	19	21	6	6				0.3949893	2	21	16	7	15	
18	50	3	47	596	24	234	1342	1576	0	0	7	1	1	3	4	18	29	32	29	32	7	7				0.5379842	2	29	23	18	23	
19	50	2	48	502	15	210	2842	3052	0	0	4	1	1	3	4	15	17	19	17	18	4	4				0.6339895	2	17	16	15	15	
20	50	0	50	474	33	378	0	378	0	0	9	1	1	3	4	11	19	19	19	19	9	8				0.1509995	2	19	11	11	11	
21	50	3	47	524	29	282	3940	4222	0	0	8	1	1	3	4	22	24	27	24	26	6	6				1.7839838	3	24	20	23	22	22	22	
22	50	3	47	397	25	119	2273	2392	0	0	7	1	1	3	4	19	22	25	22	25	7	7				0.6779994	2	22	19	19	20	
23	50	1	49	660	23	503	971	1474	0	0	6	1	1	3	4	19	31	32	32	33	8	7				0.4590015	2	31	26	19	27	
24	50	4	46	517	18	399	3099	3498	0	0	5	1	1	3	4	11	23	25	23	26	7	7				0.8620028	2	23	19	11	19	
25	50	1	49	571	23	477	4084	4561	0	0	6	1	1	3	4	19	25	26	25	26	7	7				1.1259881	2	25	20	19	20	
26	50	2	48	700	40	474	6626	7100	0	0	12	1	1	3	4	28	32	34	32	34	10	10				2.4090007	2	32	28	28	28	
27	50	2	48	658	12	398	7390	7788	0	0	3	1	1	3	4	23	25	27	24	26	4	4				1.8000014	2	25	23	23	23	
28	50	3	47	515	20	487	5762	6249	0	0	6	1	1	3	4	20	23	26	23	26	6	6				1.4839809	2	23	20	20	20	
29	50	1	49	580	17	481	3514	3995	0	0	5	1	1	3	4	8	26	27	26	27	5	4				0.9485071	2	26	22	8	23	
0	100	3	97	2016	56	1263	27339	28602	0	0	16	1	1	3	4	31	41	43	42	45	11	9				11.0669808	2	41	36	31	40	
1	100	6	94	2108	37	1185	79861	81046	0	0	11	1	1	3	4	30	45	49	45	50	12	10				43.821478	2	45	40	30	42	
2	100	1	99	2132	66	2739	6251	8990	0	0	19	1	1	3	4	24	47	48	48	49	14	13				10.6850207	4	47	42	47	45	47	46	24	45	
3	100	7	93	2694	107	2042	88321	90363	0	0	32	1	1	3	4	39	68	71	64	71	20	20				82.2629856	2	68	61	39	61	
